alunos estudantes
demonstram mostram
grande forte
programacao codificacao
rapido veloz
dificil complicado
feliz contente
carro automovel
computador maquina
inteligente esperto
radio transmissor
amigo colega
cidade metropole
trabalho servico
energia forca
coragem bravura
livro obra
viagem jornada
caminho trajeto
tempo duracao
futuro destino
problema questao
luz claridade
pessoa individuo
facil simples
importante relevante
decisao escolha
ajuda suporte
presidente lula
professor mestre
computador dispotivo
amigos companheiros
escola colegio
casa residencia
rapido ligeiro
feliz alegre
triste infeliz
amor afeicao
odio aversao
medo receio
forte robusto
fraco debil
calmo sereno
nervoso tenso
alto elevado
baixo pequeno
largo amplo
estreito apertado
bom excelente
ruim pessimo
faculdade universidade
feliz contente
esforco dedicacao
rapido ligeiro
bravo valente
frio gelado
quente caloroso
sabio inteligente
pequeno minusculo
grande enorme
dia jornada
noite escuridao
